,customer_id,address,postcode,state,country,property_valuation,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
4892,868,519 Maywood Pass,2768,NSW,Australia,10,2017-03-22,True,Approved,Solex,Standard,low,medium,1289.85,74.51,41009.0,Duddy,Duddy,Female,84.0,1979-07-18,VP Accounting,Financial Services,Mass Customer,No,Yes,11.0
4893,868,519 Maywood Pass,2768,NSW,Australia,10,2017-03-10,False,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672.0,Duddy,Duddy,Female,84.0,1979-07-18,VP Accounting,Financial Services,Mass Customer,No,Yes,11.0
4895,870,383 Rockefeller Junction,2753,NSW,Australia,9,2017-09-21,True,Approved,Solex,Standard,medium,medium,1163.89,589.27,42560.0,Wilce,Wilce,Male,63.0,1964-01-29,Pharmacist,Health,Mass Customer,No,No,6.0
4896,870,383 Rockefeller Junction,2753,NSW,Australia,9,2017-06-09,False,Approved,Trek Bicycles,Road,low,medium,980.37,234.43,38258.0,Wilce,Wilce,Male,63.0,1964-01-29,Pharmacist,Health,Mass Customer,No,No,6.0
4897,870,383 Rockefeller Junction,2753,NSW,Australia,9,2017-05-19,False,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216.0,Wilce,Wilce,Male,63.0,1964-01-29,Pharmacist,Health,Mass Customer,No,No,6.0
4898,870,383 Rockefeller Junction,2753,NSW,Australia,9,2017-05-18,True,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,38482.0,Wilce,Wilce,Male,63.0,1964-01-29,Pharmacist,Health,Mass Customer,No,No,6.0
4899,870,383 Rockefeller Junction,2753,NSW,Australia,9,2017-05-05,True,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,37659.0,Wilce,Wilce,Male,63.0,1964-01-29,Pharmacist,Health,Mass Customer,No,No,6.0
4900,870,383 Rockefeller Junction,2753,NSW,Australia,9,2017-04-24,False,Approved,Solex,Standard,medium,large,1071.23,380.74,35160.0,Wilce,Wilce,Male,63.0,1964-01-29,Pharmacist,Health,Mass Customer,No,No,6.0
4901,870,383 Rockefeller Junction,2753,NSW,Australia,9,2017-03-28,True,Approved,Solex,Standard,medium,medium,1163.89,589.27,42560.0,Wilce,Wilce,Male,63.0,1964-01-29,Pharmacist,Health,Mass Customer,No,No,6.0
4910,872,5 Hauk Lane,2650,NSW,Australia,3,2017-07-12,False,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38339.0,Ivachyov,Ivachyov,Female,47.0,1971-04-28,Structural Engineer,IT,Mass Customer,No,No,13.0
4911,873,02377 Maywood Trail,2287,NSW,Australia,7,2017-11-29,True,Approved,Solex,Standard,medium,large,1071.23,380.74,33455.0,Penwarden,Penwarden,Male,37.0,1959-12-23,Occupational Therapist,Health,Affluent Customer,No,Yes,20.0
4912,873,02377 Maywood Trail,2287,NSW,Australia,7,2017-11-15,True,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,34527.0,Penwarden,Penwarden,Male,37.0,1959-12-23,Occupational Therapist,Health,Affluent Customer,No,Yes,20.0
4913,873,02377 Maywood Trail,2287,NSW,Australia,7,2017-06-02,True,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,41701.0,Penwarden,Penwarden,Male,37.0,1959-12-23,Occupational Therapist,Health,Affluent Customer,No,Yes,20.0
4914,873,02377 Maywood Trail,2287,NSW,Australia,7,2017-04-07,True,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,40487.0,Penwarden,Penwarden,Male,37.0,1959-12-23,Occupational Therapist,Health,Affluent Customer,No,Yes,20.0
4915,873,02377 Maywood Trail,2287,NSW,Australia,7,2017-03-09,False,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,36668.0,Penwarden,Penwarden,Male,37.0,1959-12-23,Occupational Therapist,Health,Affluent Customer,No,Yes,20.0
4924,875,9254 Straubel Street,3034,VIC,Australia,9,2017-10-28,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,34170.0,Linnett,Linnett,Male,34.0,1999-02-23,Recruiting Manager,Financial Services,Mass Customer,No,Yes,2.0
4925,875,9254 Straubel Street,3034,VIC,Australia,9,2017-10-24,False,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,33549.0,Linnett,Linnett,Male,34.0,1999-02-23,Recruiting Manager,Financial Services,Mass Customer,No,Yes,2.0
4926,875,9254 Straubel Street,3034,VIC,Australia,9,2017-08-09,False,Approved,Solex,Standard,high,medium,748.17,448.9,34996.0,Linnett,Linnett,Male,34.0,1999-02-23,Recruiting Manager,Financial Services,Mass Customer,No,Yes,2.0
4927,875,9254 Straubel Street,3034,VIC,Australia,9,2017-07-26,True,Approved,Solex,Standard,medium,medium,478.16,298.72,41167.0,Linnett,Linnett,Male,34.0,1999-02-23,Recruiting Manager,Financial Services,Mass Customer,No,Yes,2.0
4928,875,9254 Straubel Street,3034,VIC,Australia,9,2017-04-26,False,Approved,Trek Bicycles,Road,low,medium,980.37,234.43,42226.0,Linnett,Linnett,Male,34.0,1999-02-23,Recruiting Manager,Financial Services,Mass Customer,No,Yes,2.0
4929,875,9254 Straubel Street,3034,VIC,Australia,9,2017-01-04,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41533.0,Linnett,Linnett,Male,34.0,1999-02-23,Recruiting Manager,Financial Services,Mass Customer,No,Yes,2.0
4930,876,3 Glacier Hill Parkway,2196,NSW,Australia,10,2017-12-14,False,Approved,Solex,Standard,medium,medium,575.27,431.45,41345.0,Jencey,Jencey,Male,44.0,1968-10-06,Physical Therapy Assistant,IT,High Net Worth,No,No,19.0
4931,876,3 Glacier Hill Parkway,2196,NSW,Australia,10,2017-07-19,False,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,36145.0,Jencey,Jencey,Male,44.0,1968-10-06,Physical Therapy Assistant,IT,High Net Worth,No,No,19.0
4932,876,3 Glacier Hill Parkway,2196,NSW,Australia,10,2017-04-15,False,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,38693.0,Jencey,Jencey,Male,44.0,1968-10-06,Physical Therapy Assistant,IT,High Net Worth,No,No,19.0
4933,877,029 Springview Place,2177,NSW,Australia,8,2017-12-13,False,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,34527.0,Milne,Milne,Female,92.0,1988-05-13,Accounting Assistant III,Financial Services,Mass Customer,No,Yes,3.0
4934,877,029 Springview Place,2177,NSW,Australia,8,2017-10-29,False,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,42172.0,Milne,Milne,Female,92.0,1988-05-13,Accounting Assistant III,Financial Services,Mass Customer,No,Yes,3.0
4935,877,029 Springview Place,2177,NSW,Australia,8,2017-09-13,False,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,34079.0,Milne,Milne,Female,92.0,1988-05-13,Accounting Assistant III,Financial Services,Mass Customer,No,Yes,3.0
4936,877,029 Springview Place,2177,NSW,Australia,8,2017-07-03,True,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,36367.0,Milne,Milne,Female,92.0,1988-05-13,Accounting Assistant III,Financial Services,Mass Customer,No,Yes,3.0
4937,877,029 Springview Place,2177,NSW,Australia,8,2017-05-22,False,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,35707.0,Milne,Milne,Female,92.0,1988-05-13,Accounting Assistant III,Financial Services,Mass Customer,No,Yes,3.0
4938,877,029 Springview Place,2177,NSW,Australia,8,2017-05-04,True,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,39298.0,Milne,Milne,Female,92.0,1988-05-13,Accounting Assistant III,Financial Services,Mass Customer,No,Yes,3.0
4939,877,029 Springview Place,2177,NSW,Australia,8,2017-04-06,False,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,36498.0,Milne,Milne,Female,92.0,1988-05-13,Accounting Assistant III,Financial Services,Mass Customer,No,Yes,3.0
4940,877,029 Springview Place,2177,NSW,Australia,8,2017-04-06,False,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91,40553.0,Milne,Milne,Female,92.0,1988-05-13,Accounting Assistant III,Financial Services,Mass Customer,No,Yes,3.0
4941,877,029 Springview Place,2177,NSW,Australia,8,2017-02-15,False,Approved,Trek Bicycles,Road,low,medium,980.37,234.43,38693.0,Milne,Milne,Female,92.0,1988-05-13,Accounting Assistant III,Financial Services,Mass Customer,No,Yes,3.0
4942,878,1 Springview Place,4800,QLD,Australia,5,2017-10-12,False,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,42458.0,Silby,Silby,Male,31.0,1982-11-01,Environmental Specialist,Manufacturing,Mass Customer,No,Yes,9.0
4943,878,1 Springview Place,4800,QLD,Australia,5,2017-07-21,True,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,41245.0,Silby,Silby,Male,31.0,1982-11-01,Environmental Specialist,Manufacturing,Mass Customer,No,Yes,9.0
4944,878,1 Springview Place,4800,QLD,Australia,5,2017-06-24,True,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,37873.0,Silby,Silby,Male,31.0,1982-11-01,Environmental Specialist,Manufacturing,Mass Customer,No,Yes,9.0
4964,884,06419 Dayton Junction,3191,VIC,Australia,10,2017-12-29,False,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434.0,Lamming,Lamming,Male,11.0,1978-01-30,Web Designer IV,Property,Mass Customer,No,No,17.0
4965,884,06419 Dayton Junction,3191,VIC,Australia,10,2017-12-01,False,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,40779.0,Lamming,Lamming,Male,11.0,1978-01-30,Web Designer IV,Property,Mass Customer,No,No,17.0
4966,884,06419 Dayton Junction,3191,VIC,Australia,10,2017-11-01,True,Approved,Solex,Standard,high,large,1842.92,1105.75,34996.0,Lamming,Lamming,Male,11.0,1978-01-30,Web Designer IV,Property,Mass Customer,No,No,17.0
4967,884,06419 Dayton Junction,3191,VIC,Australia,10,2017-08-04,False,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,40779.0,Lamming,Lamming,Male,11.0,1978-01-30,Web Designer IV,Property,Mass Customer,No,No,17.0
4968,884,06419 Dayton Junction,3191,VIC,Australia,10,2017-05-11,False,Approved,Solex,Road,medium,large,1777.8,820.78,40670.0,Lamming,Lamming,Male,11.0,1978-01-30,Web Designer IV,Property,Mass Customer,No,No,17.0
4969,885,5 Hauk Way,4870,QLD,Australia,8,2017-12-23,True,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,42218.0,Wivell,Wivell,Male,20.0,1966-11-11,Statistician IV,Financial Services,Mass Customer,No,No,18.0
4970,885,5 Hauk Way,4870,QLD,Australia,8,2017-08-31,True,Approved,Solex,Road,medium,small,1703.52,1516.13,40649.0,Wivell,Wivell,Male,20.0,1966-11-11,Statistician IV,Financial Services,Mass Customer,No,No,18.0
4971,885,5 Hauk Way,4870,QLD,Australia,8,2017-05-31,True,Approved,WeareA2B,Road,low,small,1172.78,1043.77,37539.0,Wivell,Wivell,Male,20.0,1966-11-11,Statistician IV,Financial Services,Mass Customer,No,No,18.0
4972,886,923 Westerfield Junction,2065,NSW,Australia,10,2017-12-29,False,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,33429.0,McCullen,McCullen,Female,53.0,1974-11-15,Accounting Assistant III,Health,Mass Customer,No,No,11.0
4973,886,923 Westerfield Junction,2065,NSW,Australia,10,2017-08-02,False,Approved,Solex,Standard,high,large,1842.92,1105.75,34996.0,McCullen,McCullen,Female,53.0,1974-11-15,Accounting Assistant III,Health,Mass Customer,No,No,11.0
4974,886,923 Westerfield Junction,2065,NSW,Australia,10,2017-07-29,False,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,37873.0,McCullen,McCullen,Female,53.0,1974-11-15,Accounting Assistant III,Health,Mass Customer,No,No,11.0
4975,886,923 Westerfield Junction,2065,NSW,Australia,10,2017-07-10,False,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,35667.0,McCullen,McCullen,Female,53.0,1974-11-15,Accounting Assistant III,Health,Mass Customer,No,No,11.0
4976,886,923 Westerfield Junction,2065,NSW,Australia,10,2017-05-08,False,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38339.0,McCullen,McCullen,Female,53.0,1974-11-15,Accounting Assistant III,Health,Mass Customer,No,No,11.0
4977,886,923 Westerfield Junction,2065,NSW,Australia,10,2017-03-26,False,Approved,Solex,Standard,medium,medium,1577.53,826.51,40618.0,McCullen,McCullen,Female,53.0,1974-11-15,Accounting Assistant III,Health,Mass Customer,No,No,11.0
4978,886,923 Westerfield Junction,2065,NSW,Australia,10,2017-01-16,True,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,34115.0,McCullen,McCullen,Female,53.0,1974-11-15,Accounting Assistant III,Health,Mass Customer,No,No,11.0
4987,888,89 Monument Place,4720,QLD,Australia,1,2017-10-23,False,Approved,Solex,Standard,high,medium,1024.66,614.8,35378.0,Gulleford,Gulleford,Female,62.0,1963-11-10,Accountant IV,Manufacturing,Mass Customer,No,No,10.0
4988,888,89 Monument Place,4720,QLD,Australia,1,2017-06-04,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165.0,Gulleford,Gulleford,Female,62.0,1963-11-10,Accountant IV,Manufacturing,Mass Customer,No,No,10.0
4989,888,89 Monument Place,4720,QLD,Australia,1,2017-02-23,True,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,41009.0,Gulleford,Gulleford,Female,62.0,1963-11-10,Accountant IV,Manufacturing,Mass Customer,No,No,10.0
4990,888,89 Monument Place,4720,QLD,Australia,1,2017-02-08,True,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434.0,Gulleford,Gulleford,Female,62.0,1963-11-10,Accountant IV,Manufacturing,Mass Customer,No,No,10.0
4991,888,89 Monument Place,4720,QLD,Australia,1,2017-02-02,True,Approved,Solex,Standard,high,medium,1024.66,614.8,35378.0,Gulleford,Gulleford,Female,62.0,1963-11-10,Accountant IV,Manufacturing,Mass Customer,No,No,10.0
4992,889,583 Coleman Parkway,4213,QLD,Australia,9,2017-11-24,True,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,42172.0,Coggeshall,Coggeshall,Male,46.0,1967-02-19,Sales Representative,Retail,Affluent Customer,No,Yes,10.0
4993,889,583 Coleman Parkway,4213,QLD,Australia,9,2017-05-05,True,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,42145.0,Coggeshall,Coggeshall,Male,46.0,1967-02-19,Sales Representative,Retail,Affluent Customer,No,Yes,10.0
4994,889,583 Coleman Parkway,4213,QLD,Australia,9,2017-04-15,True,Approved,Solex,Standard,medium,medium,1163.89,589.27,37838.0,Coggeshall,Coggeshall,Male,46.0,1967-02-19,Sales Representative,Retail,Affluent Customer,No,Yes,10.0
4995,889,583 Coleman Parkway,4213,QLD,Australia,9,2017-04-02,False,Approved,Solex,Standard,medium,medium,575.27,431.45,35160.0,Coggeshall,Coggeshall,Male,46.0,1967-02-19,Sales Representative,Retail,Affluent Customer,No,Yes,10.0
4996,889,583 Coleman Parkway,4213,QLD,Australia,9,2017-02-17,True,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,37539.0,Coggeshall,Coggeshall,Male,46.0,1967-02-19,Sales Representative,Retail,Affluent Customer,No,Yes,10.0
4997,890,376 Buena Vista Street,2026,NSW,Australia,11,2017-07-18,True,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,36668.0,Cordsen,Cordsen,Female,55.0,1974-02-01,Dental Hygienist,Health,Mass Customer,No,Yes,15.0
4998,890,376 Buena Vista Street,2026,NSW,Australia,11,2017-05-27,True,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688.0,Cordsen,Cordsen,Female,55.0,1974-02-01,Dental Hygienist,Health,Mass Customer,No,Yes,15.0
4999,890,376 Buena Vista Street,2026,NSW,Australia,11,2017-04-19,True,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,39880.0,Cordsen,Cordsen,Female,55.0,1974-02-01,Dental Hygienist,Health,Mass Customer,No,Yes,15.0
5000,890,376 Buena Vista Street,2026,NSW,Australia,11,2017-04-01,False,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,37220.0,Cordsen,Cordsen,Female,55.0,1974-02-01,Dental Hygienist,Health,Mass Customer,No,Yes,15.0
5001,891,91457 Anderson Avenue,3124,VIC,Australia,12,2017-12-18,True,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,37668.0,Andrioni,Andrioni,Male,21.0,1981-08-06,Occupational Therapist,Health,High Net Worth,No,Yes,9.0
5002,891,91457 Anderson Avenue,3124,VIC,Australia,12,2017-12-10,False,Cancelled,OHM Cycles,Road,medium,small,1810.0,1610.9,34071.0,Andrioni,Andrioni,Male,21.0,1981-08-06,Occupational Therapist,Health,High Net Worth,No,Yes,9.0
5003,891,91457 Anderson Avenue,3124,VIC,Australia,12,2017-08-27,True,Approved,Norco Bicycles,Road,medium,medium,543.39,407.54,35052.0,Andrioni,Andrioni,Male,21.0,1981-08-06,Occupational Therapist,Health,High Net Worth,No,Yes,9.0
5004,891,91457 Anderson Avenue,3124,VIC,Australia,12,2017-07-29,False,Approved,Solex,Standard,medium,medium,1577.53,826.51,34071.0,Andrioni,Andrioni,Male,21.0,1981-08-06,Occupational Therapist,Health,High Net Worth,No,Yes,9.0
5005,891,91457 Anderson Avenue,3124,VIC,Australia,12,2017-04-18,False,Approved,Solex,Standard,high,medium,748.17,448.9,39031.0,Andrioni,Andrioni,Male,21.0,1981-08-06,Occupational Therapist,Health,High Net Worth,No,Yes,9.0
5016,893,1 5th Parkway,2148,NSW,Australia,8,2017-10-16,False,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,41848.0,Fearnley,Fearnley,Male,97.0,1983-09-11,Geologist I,IT,Mass Customer,No,No,16.0
5017,893,1 5th Parkway,2148,NSW,Australia,8,2017-07-22,False,Approved,Solex,Standard,medium,medium,71.49,53.62,41245.0,Fearnley,Fearnley,Male,97.0,1983-09-11,Geologist I,IT,Mass Customer,No,No,16.0
5018,893,1 5th Parkway,2148,NSW,Australia,8,2017-07-09,False,Approved,Solex,Standard,low,medium,1289.85,74.51,39427.0,Fearnley,Fearnley,Male,97.0,1983-09-11,Geologist I,IT,Mass Customer,No,No,16.0
5019,893,1 5th Parkway,2148,NSW,Australia,8,2017-07-05,True,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216.0,Fearnley,Fearnley,Male,97.0,1983-09-11,Geologist I,IT,Mass Customer,No,No,16.0
5020,893,1 5th Parkway,2148,NSW,Australia,8,2017-06-14,False,Approved,Solex,Standard,medium,medium,1483.2,99.59,36146.0,Fearnley,Fearnley,Male,97.0,1983-09-11,Geologist I,IT,Mass Customer,No,No,16.0
5021,893,1 5th Parkway,2148,NSW,Australia,8,2017-04-23,True,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,37838.0,Fearnley,Fearnley,Male,97.0,1983-09-11,Geologist I,IT,Mass Customer,No,No,16.0
5022,893,1 5th Parkway,2148,NSW,Australia,8,2017-02-19,False,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,40779.0,Fearnley,Fearnley,Male,97.0,1983-09-11,Geologist I,IT,Mass Customer,No,No,16.0
5023,894,7 Meadow Ridge Center,2165,NSW,Australia,9,2017-11-12,True,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,42218.0,Kibbey,Kibbey,Female,13.0,1970-12-18,Desktop Support Technician,Financial Services,High Net Worth,No,Yes,9.0
5024,894,7 Meadow Ridge Center,2165,NSW,Australia,9,2017-11-11,False,Approved,Solex,Standard,medium,medium,71.49,53.62,40784.0,Kibbey,Kibbey,Female,13.0,1970-12-18,Desktop Support Technician,Financial Services,High Net Worth,No,Yes,9.0
5025,894,7 Meadow Ridge Center,2165,NSW,Australia,9,2017-10-25,False,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,42404.0,Kibbey,Kibbey,Female,13.0,1970-12-18,Desktop Support Technician,Financial Services,High Net Worth,No,Yes,9.0
5026,894,7 Meadow Ridge Center,2165,NSW,Australia,9,2017-10-19,True,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,33259.0,Kibbey,Kibbey,Female,13.0,1970-12-18,Desktop Support Technician,Financial Services,High Net Worth,No,Yes,9.0
5027,894,7 Meadow Ridge Center,2165,NSW,Australia,9,2017-09-15,False,Approved,Norco Bicycles,Road,medium,medium,543.39,407.54,37698.0,Kibbey,Kibbey,Female,13.0,1970-12-18,Desktop Support Technician,Financial Services,High Net Worth,No,Yes,9.0
5028,894,7 Meadow Ridge Center,2165,NSW,Australia,9,2017-08-12,False,Approved,WeareA2B,Standard,medium,small,175.89,131.92,37823.0,Kibbey,Kibbey,Female,13.0,1970-12-18,Desktop Support Technician,Financial Services,High Net Worth,No,Yes,9.0
5029,894,7 Meadow Ridge Center,2165,NSW,Australia,9,2017-02-05,True,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,42295.0,Kibbey,Kibbey,Female,13.0,1970-12-18,Desktop Support Technician,Financial Services,High Net Worth,No,Yes,9.0
5030,894,7 Meadow Ridge Center,2165,NSW,Australia,9,2017-01-03,False,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,34079.0,Kibbey,Kibbey,Female,13.0,1970-12-18,Desktop Support Technician,Financial Services,High Net Worth,No,Yes,9.0
5038,897,6382 Bayside Street,2153,NSW,Australia,10,2017-08-23,True,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,37823.0,Fance,Fance,Female,25.0,1969-01-11,Account Executive,Manufacturing,Mass Customer,No,No,11.0
5039,897,6382 Bayside Street,2153,NSW,Australia,10,2017-08-21,False,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915.0,Fance,Fance,Female,25.0,1969-01-11,Account Executive,Manufacturing,Mass Customer,No,No,11.0
5040,897,6382 Bayside Street,2153,NSW,Australia,10,2017-03-02,False,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,42710.0,Fance,Fance,Female,25.0,1969-01-11,Account Executive,Manufacturing,Mass Customer,No,No,11.0
5041,897,6382 Bayside Street,2153,NSW,Australia,10,2017-02-28,True,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434.0,Fance,Fance,Female,25.0,1969-01-11,Account Executive,Manufacturing,Mass Customer,No,No,11.0
5042,897,6382 Bayside Street,2153,NSW,Australia,10,2017-02-14,True,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404.0,Fance,Fance,Female,25.0,1969-01-11,Account Executive,Manufacturing,Mass Customer,No,No,11.0
5043,897,6382 Bayside Street,2153,NSW,Australia,10,2017-01-19,True,Approved,Giant Bicycles,Road,low,small,590.26,525.33,40487.0,Fance,Fance,Female,25.0,1969-01-11,Account Executive,Manufacturing,Mass Customer,No,No,11.0
5044,898,850 Manitowish Avenue,2148,NSW,Australia,8,2017-06-08,True,Approved,Solex,Standard,medium,medium,478.16,298.72,41245.0,Braizier,Braizier,Female,53.0,1977-08-28,General Manager,Financial Services,Affluent Customer,No,No,16.0
5045,899,88 Comanche Point,2486,NSW,Australia,7,2017-11-11,True,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,41009.0,Lawling,Lawling,Female,42.0,1963-08-05,Business Systems Development Analyst,Health,Affluent Customer,No,Yes,12.0
5046,899,88 Comanche Point,2486,NSW,Australia,7,2017-10-20,False,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,42105.0,Lawling,Lawling,Female,42.0,1963-08-05,Business Systems Development Analyst,Health,Affluent Customer,No,Yes,12.0
5047,899,88 Comanche Point,2486,NSW,Australia,7,2017-10-04,False,Approved,Solex,Standard,medium,medium,1151.96,649.49,36498.0,Lawling,Lawling,Female,42.0,1963-08-05,Business Systems Development Analyst,Health,Affluent Customer,No,Yes,12.0
5048,899,88 Comanche Point,2486,NSW,Australia,7,2017-09-13,False,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,33879.0,Lawling,Lawling,Female,42.0,1963-08-05,Business Systems Development Analyst,Health,Affluent Customer,No,Yes,12.0
5049,899,88 Comanche Point,2486,NSW,Australia,7,2017-09-01,False,Approved,WeareA2B,Standard,medium,small,175.89,131.92,41009.0,Lawling,Lawling,Female,42.0,1963-08-05,Business Systems Development Analyst,Health,Affluent Customer,No,Yes,12.0
5050,899,88 Comanche Point,2486,NSW,Australia,7,2017-07-02,True,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,33879.0,Lawling,Lawling,Female,42.0,1963-08-05,Business Systems Development Analyst,Health,Affluent Customer,No,Yes,12.0
5051,900,13845 Hayes Center,3228,VIC,Australia,8,2017-12-18,True,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,39031.0,Ivamy,Ivamy,Male,48.0,1990-08-07,Associate Professor,Manufacturing,Mass Customer,No,Yes,5.0
5052,900,13845 Hayes Center,3228,VIC,Australia,8,2017-09-22,True,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,36334.0,Ivamy,Ivamy,Male,48.0,1990-08-07,Associate Professor,Manufacturing,Mass Customer,No,Yes,5.0
5053,900,13845 Hayes Center,3228,VIC,Australia,8,2017-08-13,True,Approved,Solex,Standard,medium,medium,1163.89,589.27,41345.0,Ivamy,Ivamy,Male,48.0,1990-08-07,Associate Professor,Manufacturing,Mass Customer,No,Yes,5.0
5054,900,13845 Hayes Center,3228,VIC,Australia,8,2017-01-28,True,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,36367.0,Ivamy,Ivamy,Male,48.0,1990-08-07,Associate Professor,Manufacturing,Mass Customer,No,Yes,5.0
5059,902,9 Northridge Lane,2340,NSW,Australia,3,2017-12-16,False,Approved,WeareA2B,Standard,medium,small,175.89,131.92,37668.0,Vasiltsov,Vasiltsov,Female,37.0,1989-07-26,Staff Scientist,Retail,Mass Customer,No,No,18.0
5060,902,9 Northridge Lane,2340,NSW,Australia,3,2017-11-18,True,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38339.0,Vasiltsov,Vasiltsov,Female,37.0,1989-07-26,Staff Scientist,Retail,Mass Customer,No,No,18.0
5061,902,9 Northridge Lane,2340,NSW,Australia,3,2017-11-06,True,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,42226.0,Vasiltsov,Vasiltsov,Female,37.0,1989-07-26,Staff Scientist,Retail,Mass Customer,No,No,18.0
5062,902,9 Northridge Lane,2340,NSW,Australia,3,2017-11-05,False,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,34115.0,Vasiltsov,Vasiltsov,Female,37.0,1989-07-26,Staff Scientist,Retail,Mass Customer,No,No,18.0
5063,902,9 Northridge Lane,2340,NSW,Australia,3,2017-10-16,False,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,41701.0,Vasiltsov,Vasiltsov,Female,37.0,1989-07-26,Staff Scientist,Retail,Mass Customer,No,No,18.0
5064,902,9 Northridge Lane,2340,NSW,Australia,3,2017-10-11,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41167.0,Vasiltsov,Vasiltsov,Female,37.0,1989-07-26,Staff Scientist,Retail,Mass Customer,No,No,18.0
5065,902,9 Northridge Lane,2340,NSW,Australia,3,2017-09-13,True,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,38002.0,Vasiltsov,Vasiltsov,Female,37.0,1989-07-26,Staff Scientist,Retail,Mass Customer,No,No,18.0
5066,902,9 Northridge Lane,2340,NSW,Australia,3,2017-06-06,False,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,40336.0,Vasiltsov,Vasiltsov,Female,37.0,1989-07-26,Staff Scientist,Retail,Mass Customer,No,No,18.0
